CO2Treatment,NTreatment,Monolith,Date Sampled,Order,d13C,C:N
Ambient,Fertilized,1_2,11/18/10,2,-30.31,33.65
Ambient,Fertilized,1_2,11/18/10,3,-29.67,36.40
Ambient,Fertilized,1_2,11/18/10,4,-30.44,49.19
Ambient,Fertilized,1_2,11/18/10,5,-30.29,49.96
Ambient,Fertilized,5_2,11/18/10,1,-29.42,24.98
Ambient,Fertilized,5_2,11/18/10,2,-30.05,34.62
Ambient,Fertilized,5_2,11/18/10,3,-30.74,36.41
Ambient,Fertilized,5_2,11/18/10,4,-29.83,43.61
Ambient,Fertilized,5_2,11/18/10,5,-29.47,45.10
Ambient,Fertilized,6_2,11/18/10,1,-28.10,27.72
Ambient,Fertilized,6_2,11/18/10,2,-27.87,33.11
Ambient,Fertilized,6_2,11/18/10,3,-27.52,44.52
Ambient,Fertilized,6_2,11/18/10,4,-27.84,42.63
Ambient,Fertilized,6_2,11/18/10,5,-27.23,50.55
Ambient,Fertilized,8_1,11/18/10,1,-28.60,19.74
Ambient,Fertilized,8_1,11/18/10,2,-28.45,25.43
Ambient,Fertilized,8_1,11/18/10,3,-28.06,33.93
Ambient,Fertilized,8_1,11/18/10,4,-28.90,32.46
Ambient,Fertilized,8_1,11/18/10,5,-28.39,40.51
Ambient,Unfertilized,1_1,11/18/10,1,-30.03,39.43
Ambient,Unfertilized,1_1,11/18/10,2,-29.63,57.26
Ambient,Unfertilized,1_1,11/18/10,3,-29.97,52.20
Ambient,Unfertilized,1_1,11/18/10,4,-30.26,61.99
Ambient,Unfertilized,1_1,11/18/10,5,-29.78,74.75
Ambient,Unfertilized,5_3,11/18/10,1,-29.59,37.82
Ambient,Unfertilized,5_3,11/18/10,2,-30.10,46.40
Ambient,Unfertilized,5_3,11/18/10,3,-28.64,46.77
Ambient,Unfertilized,5_3,11/18/10,4,-29.82,59.05
Ambient,Unfertilized,5_3,11/18/10,5,-30.07,68.90
Ambient,Unfertilized,6_3,11/18/10,2,-29.08,49.78
Ambient,Unfertilized,6_3,11/18/10,3,-28.73,57.80
Ambient,Unfertilized,6_3,11/18/10,4,-28.60,67.56
Ambient,Unfertilized,8_2,11/18/10,1,-27.88,33.40
Ambient,Unfertilized,8_2,11/18/10,2,-28.08,41.42
Ambient,Unfertilized,8_2,11/18/10,3,-28.66,42.78
Ambient,Unfertilized,8_2,11/18/10,4,-28.71,47.03
Ambient,Unfertilized,8_2,11/18/10,5,-28.68,50.16
Elevated,Fertilized,2_2,11/18/10,2,-37.50,32.76
Elevated,Fertilized,2_2,11/18/10,3,-38.41,37.10
Elevated,Fertilized,2_2,11/18/10,4,-38.21,42.95
Elevated,Fertilized,2_2,11/18/10,5,-37.97,43.56
Elevated,Fertilized,3_2,11/18/10,1,-37.24,27.84
Elevated,Fertilized,3_2,11/18/10,2,-38.74,37.11
Elevated,Fertilized,3_2,11/18/10,3,-39.99,41.99
Elevated,Fertilized,3_2,11/18/10,4,-40.01,47.66
Elevated,Fertilized,3_2,11/18/10,5,-39.24,63.04
Elevated,Fertilized,4_3,11/18/10,1,-35.43,28.00
Elevated,Fertilized,4_3,11/18/10,5,-40.50,114.35
Elevated,Fertilized,7_2,11/18/10,1,-36.08,27.95
Elevated,Fertilized,7_2,11/18/10,2,-36.97,33.27
