"root","ruid","session","maxdiam","rightcens","co2treat","ntreat","agedays","ageyears","sessdead"
1.1,"1-1-1-1.1-21",21,0.000359281437125748,FALSE,"AMBIENT",0,571,1.56331279945243,21
2.1,"1-1-1-2.1-20",20,0.000209580838323353,FALSE,"AMBIENT",0,315,0.862422997946612,20
3.1,"1-1-1-3.1-45",45,0.000239520958083832,FALSE,"AMBIENT",0,623,1.7056810403833,45
4.1,"1-1-1-4.1-45",45,0.000329341317365269,FALSE,"AMBIENT",0,566,1.54962354551677,45
1.1,"1-1-3-1.1-28",28,0.000329341317365269,FALSE,"AMBIENT",0,754,2.0643394934976,28
2.1,"1-1-3-2.1-21",21,0.00029940119760479,FALSE,"AMBIENT",0,135,0.369609856262834,21
1.1,"1-1-5-1.1-10",10,0.000359281437125748,FALSE,"AMBIENT",0,231,0.632443531827515,10
2.1,"1-1-5-2.1-10",10,0.00029940119760479,FALSE,"AMBIENT",0,132,0.361396303901437,10
3.1,"1-1-5-3.1-10",10,0.000269461077844311,FALSE,"AMBIENT",0,132,0.361396303901437,10
4.1,"1-1-5-4.1-23",23,0.000389221556886228,FALSE,"AMBIENT",0,91,0.249144421629021,23
5.1,"1-1-5-5.1-23",23,0.00029940119760479,FALSE,"AMBIENT",0,56,0.153319644079398,23
6.1,"1-1-5-6.1-51",51,0.000239520958083832,FALSE,"AMBIENT",0,531,1.45379876796715,51
7.1,"1-1-5-7.1-51",51,0.00029940119760479,FALSE,"AMBIENT",0,531,1.45379876796715,51
1.1,"1-1-7-1.1-10",10,0.000508982035928144,FALSE,"AMBIENT",0,308,0.843258042436687,10
2.1,"1-1-7-2.1-23",23,0.000329341317365269,FALSE,"AMBIENT",0,91,0.249144421629021,23
1.1,"1-1-9-1.1-21",21,0.00029940119760479,FALSE,"AMBIENT",0,159,0.435318275154004,21
1.1,"1-1-13-1.1-25",25,0.000359281437125748,FALSE,"AMBIENT",0,632,1.73032169746749,25
2.1,"1-1-13-2.1-21",21,0.000269461077844311,FALSE,"AMBIENT",0,282,0.772073921971253,21
3.1,"1-1-13-3.1-25",25,0.000389221556886228,FALSE,"AMBIENT",0,181,0.49555099247091,25
1,"1-1-15-1-103",103,0.000289473684210526,FALSE,"AMBIENT",0,722,1.97672826830938,103
1.1,"1-1-15-1.1-25",25,0.000329341317365269,FALSE,"AMBIENT",0,228,0.624229979466119,25
2.1,"1-1-15-2.1-25",25,0.000359281437125748,FALSE,"AMBIENT",0,181,0.49555099247091,25
3.1,"1-1-15-3.1-22",22,0.000329341317365269,FALSE,"AMBIENT",0,64,0.175222450376454,22
4.1,"1-1-15-4.1-60",60,0.000269461077844311,FALSE,"AMBIENT",0,122,0.334017796030116,60
1,"1-1-16-1-104",104,0.000289473684210526,TRUE,"AMBIENT",0,651,1.782340862423,NA
1,"1-1-17-1-82",82,0.000289473684210526,FALSE,"AMBIENT",0,276,0.75564681724846,82
1.1,"1-1-19-1.1-46",46,0.000359281437125748,FALSE,"AMBIENT",0,1276,3.49349760438056,46
2.1,"1-1-19-2.1-23",23,0.000359281437125748,FALSE,"AMBIENT",0,406,1.11156741957563,23
1.1,"1-1-23-1.1-57",57,0.000359281437125748,FALSE,"AMBIENT",0,295,0.80766598220397,57
1,"1-1-26-1-82",82,0.000289473684210526,FALSE,"AMBIENT",0,184,0.503764544832307,82
1.1,"1-1-27-1.1-21",21,0.000329341317365269,FALSE,"AMBIENT",0,248,0.678986995208761,21
2.1,"1-1-27-2.1-23",23,0.000389221556886228,FALSE,"AMBIENT",0,304,0.832306639288159,23
1.1,"1-1-31-1.1-46",46,0.000538922155688623,FALSE,"AMBIENT",0,1509,4.13141683778234,46
2.1,"1-1-31-2.1-46",46,0.000329341317365269,FALSE,"AMBIENT",0,923,2.52703627652293,46
1.1,"1-1-33-1.1-48",48,0.000329341317365269,FALSE,"AMBIENT",0,615,1.68377823408624,48
2.1,"1-1-33-2.1-61",61,0.000329341317365269,TRUE,"AMBIENT",0,1169,3.20054757015743,NA
1,"1-1-34-1-71",71,0.000289473684210526,FALSE,"AMBIENT",0,103,0.281998631074606,71
